firstclass,secondclass,thirdclass,female,agemissing,child,adult,elderly,issolo,iscouple,istriplet,isgroup,haschild,haselderly,noages,survived
0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1
0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0
0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0
0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0
0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1
1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0
0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1
0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1
1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1
0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0
0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1
1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1
0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0
1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0
0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0
0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1
1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0
0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1
1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1
1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1
0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1
1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1
1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1
1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1
0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1
0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1
1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1
0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1
1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1
0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1
1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1
0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1
1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1
0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1
0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1
1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1
0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1
0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1
0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1
0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1
1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0
1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1
1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1
0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0
0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1
0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0
0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1
0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1
0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1
